"t(s)"	"xR(m)"	"yR(m)"	"vR(m/s)"	"N° WP"	"dist WP (m)"	"xCentreCercle(m)"	"yCentreCercle(m)"	"directionWP(rad)"	"xRobot/WP(m)"	"yRobot/WP(m)"	"Rayon(m)"	"capRobot(rad)"	"capCercleIdeal(rad)"	"ecartAngulaire_rad(rad)"	"consV_MDroit(rad/s)"	"consV_MGauche(rad/s)"	"vConsCGrad/s"	"distCurvWP(m)"	"distDecel(m)"
290	0,0000449887	0,00378964	0,027	0	01/01/4115	0,00378263	1	0	-0,999955	-0,99621	-0,996217	0,0249451	1,57455	01/01/5496	0,26776	41,4922	20,88	0	0
300	0,0000519726	0,00406955	0,028	0	01/01/4113	0,00406148	1	0	-0,999948	-0,99593	-0,995939	0,0267878	1,57482	1,54803	0,277272	42,9227	21/06/2006	0	0
310	0,0000597402	0,00435945	0,029	0	1,41109	0,00435021	1	0	-0,99994	-0,995641	-0,99565	0,0286964	1,57511	1,54641	0,286814	44,3532	22,32	0	0
320	0,0000683479	0,00465933	0,03	0	1,41087	0,00464879	1	0	-0,999932	-0,995341	-0,995351	0,0306707	01/01/5754	1,54473	0,296386	45,7836	23/04/2006	0	0
330	0,0000778543	0,00496918	0,031	0	1,41065	0,00495722	1	0	-0,999922	-0,995031	-0,995043	0,0327108	01/01/5757	1,54299	0,305991	47,214	23,76	0	0
340	0,0000883199	0,00528901	0,032	0	1,41042	0,00527548	1	0	-0,999912	-0,994711	-0,994725	0,0348167	1,57601	1,54119	0,315628	48,6444	24,48	0	0
350	0,0000998071	0,00561881	0,033	0	1,41018	0,00560358	1	0	-0,9999	-0,994381	-0,994396	0,0369884	1,57633	1,53934	0,325299	50,0747	25/02/2006	0	0
360	0,00011238	0,00595858	0,034	0	1,40993	0,00594149	1	0	-0,999888	-0,994041	-0,994059	0,0392258	1,57666	1,53743	0,335006	51,505	25,92	0	0
370	0,000126106	0,00630831	0,035	0	1,40967	0,00628919	1	0	-0,999874	-0,993692	-0,993711	0,041529	01/01/577	1,53547	0,34475	52,9353	26,64	0	0
380	0,000141052	0,006668	0,036	0	1,40941	0,00664669	1	0	-0,999859	-0,993332	-0,993353	0,043898	1,57735	1,53345	0,354531	54,3655	27,36	0	0
390	0,000157289	0,00703764	0,037	0	1,40913	0,00701397	1	0	-0,999843	-0,992962	-0,992986	0,0463327	01/01/5777	1,53137	0,364351	55,7956	28/08/2006	0	0
400	0,000174889	0,00741723	0,038	0	1,40885	0,007391	1	0	-0,999825	-0,992583	-0,992609	0,0488332	1,57807	1,52923	0,374212	57,2258	28/08/2006	0	0
410	0,000193926	0,00780677	0,039	0	1,40857	0,00777778	1	0	-0,999806	-0,992193	-0,992222	0,0513995	1,57844	1,52704	0,384115	58,6559	29,52	0	0
420	0,000214477	0,00820624	0,04	0	1,40827	0,0081743	1	0	-0,999786	-0,991794	-0,991826	0,0540315	1,57882	1,52479	0,39406	60,0859	30,24	0	0
430	0,000236619	0,00861564	0,041	0	1,40797	0,00858053	1	0	-0,999763	-0,991384	-0,991419	0,0567292	1,57921	1,52248	0,40405	61,5159	30,96	0	0
440	0,000260433	0,00903497	0,042	0	1,40765	0,00899646	1	0	-0,99974	-0,990965	-0,991004	0,0594927	1,57961	1,52012	0,414085	62,9459	31,68	0	0
450	0,000286	0,0094642	0,043	0	1,40733	0,00942207	1	0	-0,999714	-0,990536	-0,990578	0,062322	1,58002	01/01/5177	0,424168	64,3758	32,4	0	0
