1140	0.0132867	0.0625513	23.8292	23.8292
1150	0.013755	0.0635906	24.2537	24.2537
1160	0.0142352	0.0646356	24.682	24.682
1170	0.0147276	0.0656859	25.114	25.114
1180	0.0152322	0.0667415	25.5497	25.5497
1190	0.0157493	0.0678022	25.9891	25.9891
1200	0.016279	0.0688678	26.4322	26.4322
1210	0.0168215	0.0699381	26.8791	26.8791
1220	0.017377	0.0710131	27.3296	27.3296
1230	0.0179457	0.0720924	27.7839	27.7839
1240	0.0185277	0.073176	28.2418	28.2418
1250	0.0191233	0.0742636	28.7035	28.7035
1260	0.0197325	0.0753551	29.1688	29.1688
1270	0.0203556	0.0764503	29.6379	29.6379
1280	0.0209927	0.0775489	30.1106	30.1106
1290	0.0216441	0.0786508	30.5871	30.5871
1300	0.0223098	0.0797558	31.0672	31.0672
1310	0.02299	0.0808636	31.551	31.551
1320	0.0236849	0.0819741	32.0385	32.0385
1330	0.0243947	0.083087	32.5297	32.5297
1340	0.0251196	0.0842021	33.0246	33.0246
1350	0.0258596	0.0853192	33.5232	33.5232
1360	0.026615	0.0864381	34.0254	34.0254
1370	0.027386	0.0875585	34.5313	34.5313
1380	0.0281726	0.0886801	35.0409	35.0409
1390	0.028975	0.0898029	35.5541	35.5541
1400	0.0297934	0.0909264	36.071	36.071
1410	0.030628	0.0920504	36.5916	36.5916
1420	0.0314788	0.0931748	37.1158	37.1158
1430	0.0323461	0.0942992	37.6436	37.6436
1440	0.0332299	0.0954233	38.1751	38.1751
1450	0.0341305	0.096547	38.7103	38.7103
1460	0.0350479	0.0976699	39.2491	39.2491
1470	0.0359823	0.0987917	39.7916	39.7916
1480	0.0369338	0.0999122	40.3376	40.3376
1490	0.0379025	0.101031	40.8873	40.8873
1500	0.0388887	0.102148	41.4406	41.4406
1510	0.0398923	0.103263	41.9976	41.9976
1520	0.0409136	0.104375	42.5581	42.5581
1530	0.0419526	0.105485	43.1223	43.1223
1540	0.0430095	0.106591	43.69	43.69
1550	0.0440843	0.107694	44.2614	44.2614
1560	0.0451772	0.108793	44.8363	44.8363
1570	0.0462882	0.109888	45.4149	45.4149
1580	0.0474175	0.110979	45.997	45.997
1590	0.0485652	0.112065	46.5827	46.5827
1600	0.0497313	0.113145	47.1719	47.1719
